customer_id,age,monthly_income,tenure_years,plan_type,support_calls,signup_date,churn
101,23.0,15000.0,4.57,Standard,2,2022-06-12,0
102,35.0,36353.88,3.7,Basic,3,2023-10-22,0
103,35.9,23075.19,0.11,Basic,0,2023-09-03,0
104,30.4,15000.0,1.08,Premium,3,2020-05-23,0
105,38.1,17998.62,0.92,Standard,2,2021-01-18,0
106,44.8,,1.34,Standard,3,2020-08-03,0
107,62.6,39863.95,0.28,Premium,2,2023-10-16,0
108,42.1,47714.3,8.29,Standard,2,2020-11-19,0
109,43.1,17817.05,2.42,Standard,3,2022-11-04,1
110,39.1,44856.97,1.09,Basic,2,2020-08-04,0
111,18.0,16088.14,1.52,Basic,3,2024-02-24,0
112,39.7,30971.76,1.78,Basic,2,2022-08-08,0
113,40.7,28218.86,2.75,Standard,0,2024-04-19,0
114,69.6,58840.21,2.18,Standard,1,2020-07-01,0
115,37.7,29852.26,7.55,Premium,3,2020-09-26,0
116,43.6,43721.27,2.06,Basic,2,2022-08-02,0
117,39.6,32580.59,14.54,Standard,3,2024-01-30,0
118,26.0,21983.1,5.72,Standard,1,2022-05-19,0
119,53.7,40062.2,0.7,Standard,2,2024-06-23,0
120,49.0,38762.99,8.0,Standard,0,2024-03-22,0
121,49.5,42056.32,0.37,Basic,1,2024-04-14,1
122,29.1,15000.0,5.1,,1,2021-04-11,0
123,56.8,34681.34,1.44,Basic,0,2020-10-31,1
124,23.2,24488.34,6.31,Basic,4,2023-03-13,0
125,47.0,,6.08,Basic,6,2020-04-20,0
126,66.3,51556.51,4.92,Standard,4,2022-10-10,0
127,28.1,22638.32,4.68,Premium,3,2020-08-19,0
128,33.2,29344.2,1.09,Standard,1,2024-09-10,0
129,41.2,28638.58,0.25,Standard,4,2024-05-26,1
130,34.0,20940.2,1.55,Standard,2,2024-10-11,1
131,21.4,18680.39,0.57,Standard,3,2024-10-21,0
132,40.8,,3.56,Basic,2,2024-06-03,0
133,27.3,25067.91,1.27,Basic,0,2024-03-03,0
134,45.7,,11.14,Basic,2,2021-08-17,0
135,29.0,31406.77,3.07,Basic,2,2024-04-26,0
136,58.6,50660.15,5.19,Basic,3,2023-07-20,0
137,30.6,26529.01,0.43,Basic,1,2024-09-22,1
138,36.1,36769.74,5.94,Basic,0,2020-06-21,0
139,49.8,53133.56,7.68,Premium,1,2022-08-30,0
140,25.2,28298.66,2.0,Basic,3,2022-10-27,0
141,42.7,19456.62,2.8,Basic,1,2023-03-24,0
142,55.7,,4.34,Basic,1,2024-03-25,0
143,20.7,15000.0,0.58,Standard,2,2021-06-29,0
144,42.2,33981.21,2.09,Basic,5,2021-07-01,0
145,43.1,38636.15,1.53,Basic,4,2021-06-01,1
146,49.4,,0.47,Standard,2,2022-07-02,1
147,25.2,21619.41,1.37,Basic,2,2020-08-02,0
148,24.2,15000.0,0.21,Basic,5,2020-05-13,1
149,46.3,32118.5,0.08,Basic,1,2020-10-11,0
150,43.6,,0.44,Basic,2,2023-02-23,1
151,43.0,,9.9,,1,2024-01-02,0
152,44.2,24512.43,2.39,Basic,3,2021-11-16,1
153,31.8,17664.78,10.13,Standard,0,2023-03-21,0
154,42.8,42658.77,1.7,Standard,0,2020-11-26,1
155,43.5,27218.3,1.12,Standard,2,2024-04-10,1
156,31.4,46201.28,2.12,Basic,1,2023-11-07,0
157,62.4,53857.98,1.74,Premium,1,2023-02-12,0
158,45.7,38027.49,0.34,Basic,2,2022-06-12,0
159,25.7,15000.0,3.07,Basic,1,2024-02-14,0
160,47.9,43905.39,0.73,Standard,2,2023-07-31,1
161,28.3,18037.95,2.9,Basic,2,2022-06-17,0
162,49.4,40532.09,3.15,Basic,3,2023-01-03,0
163,53.9,63603.19,0.49,Standard,3,2023-04-04,0
164,30.2,23352.97,0.19,Premium,1,2023-04-27,0
165,51.6,50442.6,4.55,Basic,1,2020-03-18,0
166,45.0,30337.29,1.85,Standard,1,2022-08-04,0
167,49.9,39611.87,0.18,Premium,2,2024-06-13,1
168,62.8,64375.62,15.82,Basic,2,2021-11-18,0
169,37.1,24628.54,0.18,Basic,1,2020-01-21,0
170,31.0,39263.72,3.56,Basic,1,2021-07-19,1
171,29.3,29122.68,12.35,Basic,3,2023-04-22,0
172,30.2,19668.49,0.82,Basic,1,2023-05-30,1
173,39.1,36319.09,0.46,Premium,5,2022-04-06,1
174,44.1,43055.49,0.39,Standard,2,2023-09-13,0
175,43.3,39630.71,1.08,Standard,3,2020-06-27,0
176,49.9,27379.16,0.32,Basic,0,2023-02-09,1
177,40.2,26307.72,3.53,Standard,3,2024-10-25,0
178,57.4,43973.78,0.19,Premium,0,2024-10-15,0
179,36.8,28863.83,2.14,Standard,4,2022-12-18,0
180,72.6,63079.0,17.14,Basic,1,2023-09-12,0
181,47.5,39428.01,5.05,Standard,2,2022-06-23,1
182,29.7,15000.0,2.87,Basic,3,2024-07-02,0
183,27.1,24761.01,1.1,Basic,1,2021-10-30,0
184,45.8,41516.42,2.93,Basic,0,2020-07-09,0
185,37.3,34333.08,2.25,Standard,2,2023-05-08,1
186,48.6,47500.65,1.67,Standard,2,2023-08-28,1
187,45.7,43214.46,0.42,Basic,2,2021-12-08,1
188,39.1,34974.28,6.53,Basic,0,2022-11-24,0
189,29.8,23309.45,1.79,Basic,3,2021-01-13,0
190,21.8,15000.0,0.65,Basic,5,2021-01-21,1
191,34.6,31150.4,1.38,Basic,1,2024-11-16,0
192,50.3,41882.93,1.6,Basic,2,2020-08-24,0
193,42.6,36227.93,5.27,Standard,2,2021-09-07,0
194,25.1,15000.0,3.97,Basic,6,2024-03-22,0
195,42.1,25014.08,4.4,Basic,1,2020-10-09,0
196,44.6,44124.27,0.03,Basic,2,2020-01-01,1
197,29.4,23198.53,1.61,Premium,1,2024-10-20,0
198,41.8,38927.77,1.97,Standard,1,2021-04-08,1
199,40.7,32785.35,0.06,Standard,2,2023-06-07,1
200,26.3,21265.53,0.9,Basic,0,2022-08-24,1
201,44.3,42941.03,4.28,Standard,4,2020-06-20,0
202,46.7,33255.17,0.44,Basic,2,2023-01-15,0
203,53.0,43166.26,2.3,Standard,3,2024-04-25,0
204,52.6,38418.3,0.73,Premium,1,2023-02-20,0
205,23.5,15298.4,0.04,Standard,1,2022-04-22,0
206,28.7,20523.5,0.83,Premium,3,2023-08-14,0
207,46.2,,11.17,Standard,2,2021-11-20,0
208,46.2,33102.36,4.85,Basic,2,2021-07-28,0
209,46.2,46990.51,9.63,Premium,0,2024-02-16,0
210,80.0,56843.14,2.01,Basic,1,2020-06-13,0
211,46.9,35985.58,0.35,Standard,2,2024-09-18,1
212,53.6,39383.58,2.38,Basic,0,2021-01-17,1
213,51.4,52734.24,1.82,Basic,4,2020-07-27,1
214,47.8,39825.79,5.58,Basic,5,2024-10-28,1
215,36.2,37228.17,0.31,Basic,0,2023-12-26,0
216,49.1,27401.62,2.01,Basic,0,2023-11-13,0
217,30.7,26717.28,0.49,Standard,6,2024-05-02,1
218,37.2,36843.59,1.18,,0,2020-08-11,0
219,34.2,27998.78,4.01,Basic,1,2020-01-03,0
220,41.0,41309.83,1.94,Standard,0,2021-01-06,0
221,67.8,50082.41,1.41,Basic,3,2024-09-06,1
222,18.0,25674.78,1.5,Standard,2,2024-01-09,0
223,48.2,56979.28,1.85,Standard,3,2021-09-02,0
224,20.6,15000.0,4.61,Standard,5,2020-04-25,0
225,34.3,23905.43,6.68,Standard,5,2023-07-17,0
226,53.1,54081.0,9.33,Basic,2,2021-03-22,0
227,40.8,45253.67,4.64,Standard,3,2023-10-23,1
228,27.1,17470.77,1.14,Basic,6,2023-06-30,1
229,31.4,21771.59,3.5,Basic,3,2023-09-02,1
230,48.2,36269.86,1.73,Standard,2,2021-02-18,0
231,31.2,15000.0,0.88,Basic,3,2023-01-23,0
232,42.6,26728.79,5.51,Standard,1,2022-06-10,0
233,40.5,24404.36,0.12,Standard,1,2022-11-13,1
234,32.2,19602.26,6.96,Premium,4,2024-07-09,0
235,65.7,52304.38,1.86,Premium,0,2021-10-24,0
236,47.6,39959.34,3.04,Basic,6,2022-12-09,0
237,18.0,26804.0,3.23,Basic,2,2024-03-05,0
238,42.2,25803.13,6.76,Standard,3,2021-12-18,0
239,32.1,33521.43,3.04,Basic,2,2024-03-01,0
240,50.2,38471.45,2.86,Standard,0,2023-09-20,0
241,30.5,23996.09,0.21,Standard,1,2023-01-07,1
242,38.6,36297.09,2.19,Standard,4,2024-05-24,1
243,46.1,27866.1,0.49,Basic,3,2022-11-16,0
244,50.4,43370.53,4.01,Basic,3,2020-09-27,0
245,25.6,21808.77,2.15,Basic,5,2021-07-15,1
246,36.0,32728.4,3.42,,1,2022-03-14,0
247,34.3,29753.87,0.13,Premium,4,2020-09-03,0
248,32.2,45370.44,0.27,Basic,1,2024-12-04,0
249,61.2,43846.44,3.78,,1,2024-06-02,0
250,44.9,31639.85,0.22,Basic,1,2021-01-21,0
251,24.9,,0.22,Standard,0,2021-12-02,1
252,51.0,36367.66,0.04,Standard,1,2021-07-12,0
253,65.5,47273.6,9.41,Basic,4,2022-08-30,0
254,52.4,51423.8,4.01,Basic,2,2023-10-16,0
255,21.8,28778.08,1.31,Basic,1,2022-09-10,0
256,34.2,22785.38,1.06,Basic,1,2024-02-20,0
257,55.2,37503.5,1.29,Standard,1,2020-12-17,0
258,31.5,28977.7,4.47,Standard,2,2024-09-20,0
259,45.3,31842.88,3.25,Basic,2,2023-07-03,0
260,49.3,44499.94,0.61,Basic,0,2023-05-30,0
261,28.9,24724.85,0.57,Premium,2,2022-01-22,0
262,39.3,19302.6,0.31,Basic,1,2022-02-19,0
263,18.0,26780.04,3.24,Standard,2,2022-10-21,0
264,27.7,36532.9,4.34,Basic,2,2021-06-29,0
265,37.0,24673.04,0.92,Basic,0,2024-01-09,0
266,25.0,16919.67,0.06,Basic,2,2020-03-19,1
267,59.6,49958.07,0.26,Standard,0,2023-06-13,0
268,22.8,20946.3,10.31,Premium,3,2020-11-29,0
269,34.7,33043.93,1.05,Basic,4,2022-06-07,0
270,41.6,49336.75,4.4,Basic,4,2023-10-04,0
271,57.3,44420.65,2.94,Basic,3,2023-01-26,0
272,22.8,15000.0,1.44,Basic,3,2023-01-10,0
273,54.0,32131.82,0.69,Basic,2,2021-05-16,1
274,40.1,26250.8,0.39,Basic,0,2024-02-09,0
275,28.2,,2.86,Standard,2,2024-09-23,1
276,45.5,50792.66,4.47,Basic,3,2022-02-03,0
277,42.4,29770.08,3.1,Basic,1,2022-07-09,0
278,32.8,28028.22,2.27,Premium,2,2021-07-03,0
279,40.8,32538.72,0.13,Basic,1,2020-01-14,1
280,35.4,,10.37,Premium,1,2021-01-26,0
281,41.4,53305.23,4.81,Basic,2,2023-10-02,0
282,47.9,34109.5,1.04,Premium,3,2020-11-05,0
283,59.0,43310.25,11.73,Standard,2,2021-01-20,0
284,25.1,28470.26,2.76,Standard,0,2023-05-17,0
285,65.6,57932.25,2.62,Premium,3,2023-10-12,0
286,18.0,29173.66,4.14,Basic,2,2022-08-31,1
287,38.2,35214.29,5.01,Premium,2,2024-06-12,0
288,47.1,34773.51,3.21,Basic,0,2024-05-10,0
289,43.4,39422.76,0.41,Basic,4,2023-01-22,1
290,32.5,34891.71,1.24,Basic,2,2023-01-21,0
291,37.5,36565.88,7.9,Standard,2,2020-12-05,1
292,34.1,31325.38,0.76,Basic,1,2021-08-19,0
293,32.9,34875.5,1.4,Standard,2,2024-01-08,1
294,50.2,49510.54,1.7,Standard,2,2022-01-26,0
295,44.3,46484.62,1.74,Standard,2,2022-11-11,1
296,31.7,30537.75,2.85,Standard,4,2020-10-17,0
297,50.8,39299.21,8.6,Basic,0,2024-02-17,0
298,43.7,36123.78,0.83,Basic,1,2020-11-01,0
299,49.8,49455.55,0.39,Basic,4,2021-09-25,1
300,47.6,31508.95,0.66,Basic,0,2023-02-25,0
301,30.1,,6.54,Basic,0,2021-09-16,0
302,33.3,23475.55,3.11,Basic,3,2022-07-27,1
303,49.0,39403.98,1.01,Basic,0,2023-07-20,0
304,47.3,48087.17,5.08,,1,2022-04-27,0
305,39.7,33328.14,5.93,Standard,0,2021-03-17,0
306,41.4,33497.84,5.62,Basic,1,2021-05-17,0
307,55.3,33386.73,7.54,Standard,2,2020-05-09,0
308,32.9,32290.94,0.87,Basic,2,2023-03-01,1
309,46.6,42416.01,4.22,Basic,1,2021-08-19,0
310,37.6,47364.99,1.85,Standard,2,2024-02-14,0
311,37.4,27448.03,5.54,Basic,3,2022-05-11,0
312,53.2,44301.46,3.91,Basic,0,2023-11-14,0
313,49.9,41919.07,4.49,Premium,3,2021-08-15,1
314,49.8,52429.32,3.2,Premium,1,2022-09-25,0
315,55.7,43770.23,0.59,Standard,4,2020-11-20,0
316,40.3,,2.36,Standard,5,2022-12-28,0
317,48.2,43409.92,12.53,Standard,1,2024-08-10,0
318,36.3,30514.31,8.31,Basic,1,2021-03-23,1
319,43.9,31540.53,0.13,Basic,4,2024-03-31,0
320,38.4,32303.35,0.54,Basic,1,2022-03-29,0
321,41.2,41520.22,0.42,Basic,1,2024-06-28,1
322,47.1,29501.39,3.88,Standard,3,2023-04-03,1
323,30.2,25208.84,5.11,Basic,2,2024-02-20,0
324,65.1,46485.95,0.72,Premium,0,2024-10-02,0
325,27.9,31902.61,2.11,Premium,1,2021-12-09,1
326,25.4,15000.0,5.51,Standard,2,2023-12-20,0
327,53.9,38646.49,3.96,Standard,1,2024-09-16,0
328,49.5,42617.66,2.34,Premium,4,2020-09-21,1
329,47.5,50515.74,2.68,Basic,3,2021-09-03,0
330,47.5,,2.13,Standard,0,2023-09-27,0
331,39.9,27440.83,1.06,Basic,2,2022-04-11,1
332,29.2,38435.61,2.5,Standard,4,2024-10-15,0
333,40.9,21143.61,3.5,Basic,2,2023-07-25,0
334,31.9,15000.0,6.2,Premium,1,2021-11-04,0
335,51.7,44881.27,3.03,Premium,2,2024-01-02,0
336,38.2,26571.82,4.3,Basic,2,2020-06-05,0
337,30.1,15905.36,0.52,Basic,2,2023-12-16,0
338,36.1,34581.55,1.86,Premium,1,2020-09-07,1
339,45.0,37914.55,0.03,Basic,0,2022-05-27,0
340,33.2,22075.62,0.85,Premium,3,2024-06-20,0
341,30.1,15000.0,3.89,Standard,6,2021-06-13,0
342,42.9,41319.06,14.41,,1,2020-11-22,0
343,42.9,39553.29,0.31,Basic,2,2022-08-18,0
344,33.9,26339.94,1.54,Basic,2,2022-06-13,0
345,34.3,42251.13,4.83,Standard,2,2020-04-06,0
346,42.8,25667.0,0.68,Basic,2,2021-05-27,0
347,22.6,15000.0,2.43,Standard,2,2020-08-03,1
348,23.1,15000.0,3.96,Basic,1,2023-03-01,0
349,31.4,24738.25,2.87,Standard,4,2023-07-07,0
350,37.4,31897.62,0.62,Premium,3,2020-05-04,0
351,43.7,33054.82,1.32,Premium,0,2023-01-10,0
352,57.7,48979.86,4.59,Basic,2,2023-07-30,1
353,50.3,30221.22,2.42,Standard,2,2024-09-02,0
354,38.1,42014.71,0.02,Standard,3,2020-02-28,1
355,39.8,31160.23,4.29,Standard,1,2024-04-16,0
356,28.0,31314.08,0.11,Premium,2,2020-06-09,1
357,39.8,34564.08,4.11,Basic,0,2020-10-10,0
358,36.5,32882.9,0.68,Basic,3,2020-04-15,0
359,43.9,39656.24,9.52,Premium,3,2023-02-02,0
360,30.1,27640.25,1.38,Basic,2,2024-01-02,0
361,46.2,42127.51,1.19,Standard,0,2020-08-15,1
362,58.4,57347.51,0.48,Premium,3,2024-09-19,0
363,38.7,32528.07,1.09,Basic,2,2024-05-24,0
364,44.8,,6.28,Premium,4,2020-11-13,0
365,48.3,37907.5,16.83,Basic,1,2024-01-27,0
366,35.2,39669.22,1.38,Standard,3,2022-03-12,0
367,42.7,28740.15,1.79,Standard,2,2024-06-10,0
368,40.2,46528.41,3.84,Premium,4,2022-05-23,0
369,41.2,32616.43,6.52,Basic,0,2021-04-16,0
370,30.7,15000.0,2.7,Basic,2,2022-12-15,1
371,40.3,33260.13,1.49,Standard,1,2021-09-16,0
372,46.0,31332.37,1.6,Standard,1,2020-01-13,0
373,57.4,52656.13,3.57,Standard,1,2024-01-03,0
374,51.5,35988.01,0.01,Basic,0,2022-11-07,0
375,65.8,49101.08,2.9,Basic,1,2021-11-24,1
376,30.8,15000.0,1.32,Basic,2,2022-08-30,0
377,50.5,36755.83,4.74,Standard,3,2020-04-22,0
378,42.2,15000.0,0.29,Basic,5,2020-08-16,1
379,66.3,40350.89,2.66,Basic,3,2020-06-19,0
380,30.3,30323.65,1.97,Premium,2,2020-10-21,0
381,29.9,30225.07,3.08,Basic,4,2020-07-07,0
382,32.8,29649.49,0.2,Premium,3,2021-03-01,0
383,18.0,,2.6,Standard,2,2022-09-03,0
384,33.7,26571.06,2.47,Standard,1,2023-01-07,0
385,30.9,24683.51,2.47,Basic,1,2021-10-19,0
386,41.8,,2.78,Basic,4,2022-07-07,0
387,44.1,,3.39,Standard,5,2023-04-20,1
388,62.5,57030.14,4.9,Standard,1,2021-05-13,0
389,51.4,39356.36,0.94,Standard,3,2022-01-31,1
390,33.1,26676.81,5.23,Basic,2,2022-05-15,1
391,29.2,25042.28,2.07,Standard,1,2022-04-05,0
392,45.9,20388.55,0.24,Standard,2,2024-09-27,0
393,24.2,17348.34,0.18,Standard,1,2020-03-11,0
394,62.0,44126.13,1.22,Standard,2,2020-09-04,1
395,54.2,35309.67,4.61,Standard,1,2020-05-25,1
396,34.4,25247.11,3.69,Standard,0,2024-06-29,0
397,19.4,29935.4,4.66,Basic,2,2024-12-03,0
398,56.2,50123.92,2.18,Basic,1,2023-08-12,1
399,38.6,26330.99,1.74,Basic,2,2021-08-04,0
400,54.9,48463.7,0.48,Basic,3,2021-04-14,1
401,20.9,27888.34,1.19,Basic,0,2024-03-09,0
402,32.8,33643.07,1.71,Basic,0,2020-07-11,0
403,40.1,32527.38,0.28,Basic,2,2022-12-27,0
404,40.6,27275.52,0.75,Basic,1,2021-05-08,1
405,34.6,33265.16,2.74,Standard,2,2020-02-21,0
406,47.5,41127.24,3.99,Premium,3,2022-05-31,0
407,27.2,28912.39,19.22,Basic,2,2020-12-28,0
408,38.3,35714.53,8.11,Premium,3,2022-07-05,0
409,41.4,41551.26,3.09,Standard,3,2021-04-18,1
410,46.2,32656.73,1.64,Basic,3,2021-06-04,0
411,48.5,49370.66,3.03,Basic,2,2024-11-21,0
412,26.5,22784.23,4.62,Standard,0,2023-12-25,0
413,21.6,33874.59,0.38,Standard,2,2023-08-14,1
414,55.3,38752.19,1.58,Standard,2,2023-12-29,1
415,44.0,49077.92,5.49,Basic,2,2024-09-15,0
416,31.0,26397.82,1.45,Basic,3,2021-11-21,0
417,58.6,41679.71,2.55,Basic,1,2023-05-06,1
418,41.4,29239.39,2.66,,2,2023-02-25,0
419,54.2,40758.47,0.61,Basic,0,2021-06-15,0
420,40.8,36041.5,1.35,Basic,0,2023-12-05,0
421,64.7,55965.86,1.22,Standard,2,2022-04-19,0
422,61.1,44261.67,0.08,Premium,3,2022-12-24,0
423,37.0,29415.11,0.07,Basic,1,2024-09-13,0
424,51.7,58465.24,5.35,Premium,1,2020-08-28,0
425,47.7,52015.95,0.96,Basic,4,2023-10-24,0
426,56.4,48629.45,2.19,Basic,1,2021-06-19,0
427,28.4,23040.76,1.06,Basic,2,2023-11-08,0
428,48.2,39546.34,8.47,Standard,0,2023-12-25,0
429,52.7,47069.02,0.9,Premium,4,2020-03-23,0
430,18.9,15000.0,1.68,Standard,3,2022-09-08,0
431,25.8,18581.71,6.18,Basic,2,2024-09-16,0
432,18.0,15000.0,5.53,Standard,2,2022-08-08,0
433,36.8,32607.48,0.62,Basic,3,2021-09-02,1
434,48.6,44065.97,4.87,Premium,3,2021-07-27,0
435,58.0,42557.14,1.84,Standard,1,2020-10-12,1
436,40.9,45303.2,1.98,Basic,3,2022-09-15,0
437,59.5,37828.58,0.43,Standard,3,2024-04-06,0
438,23.4,15000.0,0.25,Standard,0,2021-04-03,0
439,19.6,17443.14,3.91,Basic,4,2023-05-20,1
440,39.3,39843.53,2.06,Standard,4,2020-05-05,1
441,44.6,49158.45,1.72,Basic,2,2023-12-07,0
442,39.6,28015.06,3.92,Standard,2,2024-03-02,0
443,18.0,,4.35,Standard,2,2021-02-28,1
444,38.9,30836.38,0.52,Standard,0,2021-07-07,0
445,24.3,18096.07,2.83,,2,2021-09-01,0
446,48.0,45498.14,0.44,Standard,2,2024-04-15,1
447,44.4,40737.93,4.18,Basic,3,2023-03-27,1
448,28.7,15000.0,3.21,Standard,0,2020-04-21,0
449,33.8,38879.2,9.41,Basic,1,2021-02-05,0
450,27.3,32872.28,0.21,Basic,3,2024-11-17,1
451,39.2,26393.78,0.18,Basic,3,2020-05-01,0
452,51.5,44335.79,0.99,Basic,4,2020-09-29,0
453,28.2,26489.27,0.91,Standard,0,2023-08-10,0
454,46.0,38924.24,0.85,Basic,3,2021-02-01,1
455,33.6,22507.09,7.1,Standard,1,2021-04-15,0
456,30.5,19015.43,0.86,Basic,2,2022-09-11,1
457,38.7,30768.08,0.95,Basic,5,2023-05-15,0
458,27.6,31443.51,4.27,Standard,0,2023-02-07,0
459,33.4,31033.77,1.79,Basic,1,2024-01-03,0
460,25.6,17535.46,4.5,Basic,3,2023-07-25,1
461,63.6,57034.95,0.2,Standard,3,2024-05-10,1
462,40.4,15000.0,2.01,Basic,1,2021-07-22,0
463,31.6,34472.76,0.1,Standard,0,2024-02-14,0
464,42.6,20136.5,0.19,Basic,3,2023-02-11,0
465,38.7,28022.12,7.11,Basic,3,2022-06-15,0
466,37.3,20921.33,0.45,Standard,0,2022-03-30,0
467,47.4,27538.55,2.28,Basic,2,2022-05-02,1
468,49.1,48558.69,1.59,Basic,0,2024-02-09,0
